지역,소재지,시설명,주소,연락처
강원특별자치도,태백시,태백공원묘원 자연장지,"강원도 태백시 백두대간로 844 (창죽동, 태백공동묘지)",033-550-2844
강원특별자치도,춘천시,춘천안식공원 잔디장,"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-261-7314
경기도,가평군,가평추모공원(자연장지),경기도 가평군 가평읍 읍내리 산25,031-580-2583
인천광역시,옹진군,장봉리공설묘지 자연장지,인천광역시 옹진군 북도면 장봉리 산177,032-899-2333
세종특별자치시,세종특별자치시,세종수목장,세종특별자치시 전의면 부거실길 135-11 (달전리),044-864-4746
경상남도,함양군,함양하늘공원(자연장지),"경상남도 함양군 지곡면 함양로 2139-2 (마산리, 하늘공원)",055-964-0401
경기도,안산시단원구,와동꽃빛공원 자연장지,경기도 안산시 단원구 순환로 390 (와동),031-481-3359
경상북도,청도군,대성교회 자연장지,경상북도 청도군 화양읍 고평리 산19-3,054-371-2836
강원특별자치도,철원군,성도장로교회 자연장지,강원특별자치도 철원군 서면 자등리 산172-1,033-458-1907
전라남도,영암군,목포남부교회 남부소망동산,전라남도 영암군 학산면 신덕리 3-6,061-244-4043
경상남도,거제시,저높은교회 자연장지,경상남도 거제시 삼거동 602,055-637-3439
전북특별자치도,남원시,남원시추모공원(자연장지),"전라북도 남원시 솔터길 40-36 (광치동, 승화원)",063-620-5730
경상북도,성주군,삼광사추모공원 자연장지,"경상북도 성주군 월항면 지산로 208 (지방리, 삼광사)",054-971-5669
제주특별자치도,제주시,제주시어승생한울누리공원,"제주특별자치도 제주시 산록북로 70 (연동, 어승생한울누리공원)",064-728-2565
강원특별자치도,영월군,원주제일교회자연장지,강원특별자치도 영월군 주천면 신일리 산253,033-742-2170
경상남도,거제시,늘푸른수목장(청광사),경상남도 거제시 사등면 지석로 216 (지석리),
전북특별자치도,완주군,(재)호정공원(자연장),전라북도 완주군 화산면 운곡로 381-64 (운곡리),063-214-1009
인천광역시,옹진군,선재리공설묘지 자연장지,인천광역시 옹진군 영흥면 선재리 산32,032-899-2333
경상북도,울진군,울진군립추모원(자연장지),경상북도 울진군 울진읍 대흥신림로 1046-280 (신림리),054-789-6109
경상남도,거창군,해인사 고불암수목장,경상남도 거창군 가북면 용암리 산154-4,055-934-0127
강원특별자치도,횡성군,길상사 수목장림,강원특별자치도 횡성군 서원면 양서동로 377 (석화리),031-771-7319
경기도,안성시,유토피아수목장,"경기도 안성시 일죽면 화곡길 130 (화곡리, 유토피아추모관)",031-673-7904
경기도,양평군,별그리다(별의숲),경기도 양평군 양동면 양동금곡1길 331 (삼산리),031-333-1111
경기도,김포시,청솔수목장,경기도 김포시 월곶면 애기봉로409번길 82-11 (개곡리),031-1899-4266
전북특별자치도,고창군,고창푸른숲자연장,"전라북도 고창군 신림면 왕림로 94-54 (세곡리, 고창푸른숲자연장관리사무소)",063-564-7852
경기도,광주시,소망수양관 자연장지,경기도 광주시 곤지암읍 건업리 54-4,02-512-9191
인천광역시,부평구,인천가족공원 자연장,인천광역시 부평구 평온로 61 (부평동),032-456-2320
경기도,광주시,충현공원 자연장지,경기도 광주시 용샘길 115-25 (목현동),031-764-9617
경상북도,경주시,용주사 자연장지,경상북도 경주시 서면 하늘마루길 328 (도리),054-753-5678
서울특별시,서울특별시,서울시립 자연장지,경기도 파주시 광탄면 명봉산로262번길 267 (용미리),031-943-1930
경기도,용인시,불광사 양지수목장,경기도 용인시 처인구 백암면 박곡로208번길 24 (박곡리),031-323-1207
전라남도,신안군,압해중앙동산,전라남도 신안군 압해읍 신용리 산34,061-271-9201
충청남도,서천군,(재)대전교구천주교회유지재단자연장지,충청남도 서천군 문산면 수암리 산77,041-952-4460
경기도,양평군,갈월사 자연장지,"경기도 양평군 양평읍 충신로324번길 64 (창대리, 갈월사)",031-774-7374
전라남도,함평군,한국기독교장로회함평읍교회,전라남도 함평군 손불면 석창리 88-17,061-323-9191
경상북도,의성군,의성군 천제공원(자연장지),경상북도 의성군 의성읍 의성길안로 287-29 (중리리),054-830-6167
제주특별자치도,제주시,용강별숲공원(구 동부공설묘지),제주특별자치도 제주시 용강6길 366-1 (용강동),064-728-2562
경기도,화성시,대한불교자성선원,경기도 화성시 팔탄면 온천로 280-6 (덕천리),031-352-7214
전라남도,보성군,대한불교조계종 대원사,전라남도 보성군 문덕면 죽산길 506-8 (죽산리),061-852-1755
경기도,여주시,여주추모공원 자연장지,경기도 여주시 가남읍 여주남로 769 (본두리),031-880-4061
경상북도,영천시,개원추모공원 자연장,경상북도 영천시 신녕면 장수로 2238-28 (화남리),054-336-0992
경기도,용인시,용인평온의숲(예정원),"경기도 용인시 처인구 이동면 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900
제주특별자치도,서귀포시,서귀포추모공원 자연장지,제주특별자치도 서귀포시 돈내코로 295-28 (상효동),064-732-1893
경기도,광주시,중흥교회 자연장(남서울가족공원),경기도 광주시 곤지암읍 가마을길 83-14 (오향리),031-764-4680
경기도,이천시,이천시립 자연장지,경기도 이천시 부발읍 황무로1719번길 189 (죽당리),031-631-3578
전북특별자치도,고창군,무장녹두숲자연장,전라북도 고창군 무장면 반송길 12 (고라리),063-564-6864
경기도,양평군,국립하늘숲추모원,경기도 양평군 양동면 양서동로 372 (계정리),031-775-6637
경기도,양주시,대원정사 자연장지,경기도 양주시 장흥면 권율로309번길 317-214 (석현리),031-855-5501
인천광역시,옹진군,연평리공설묘지 자연장지,인천광역시 옹진군 연평면 연평리 661-5,032-899-2333
경상남도,진주시,진주대광교회 자연장지,"경상남도 진주시 대신로243번길 16 (상대동, 대광교회)",055-761-6866
경기도,연천군,수불사추모공원,"경기도 연천군 청산면 전영로215번길 153-16, 수불사 추모공원",031-832-6222
경기도,광주시,신월공설자연장지,경기도 광주시 초월읍 신월리 산68,031-767-0383
강원특별자치도,횡성군,횡성군공설자연장지,강원특별자치도 횡성군 갑천면 태기로구방8길 132 (구방리),033-340-2904
강원특별자치도,홍천군,사모보궁자연장,강원특별자치도 홍천군 두촌면 철정리 987-1,033-436-1414
전북특별자치도,완주군,완주군 자연추모동산,전라북도 완주군 봉동읍 우주로 270-68 (구암리),063-290-2207
제주특별자치도,제주시,제주영락동산,제주특별자치도 제주시 구좌읍 덕천리 427-1,064-753-1231
전라남도,장성군,백양사 수목장,"전라남도 장성군 북하면 백양로 1239 (약수리, 백양사)",061-392-2304
충청남도,당진시,대호지공설묘지(자연장),"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-350-3044
전북특별자치도,김제시,(재)지평선전북공원묘원(자연),전라북도 김제시 금구면 선암1길 290 (선암리),063-546-5011
전라남도,장흥군,장흥공설자연장지,"전라남도 장흥군 장흥읍 금산신기길 131 (금산리, 공원묘지관리실)",061-860-5864
광주광역시,북구,광주영락공원 청마루동산,광주광역시 북구 영락공원로 170 (효령동),062-572-4384
충청남도,태안군,천주교태안교회 공원묘지,충청남도 태안군 태안읍 터널길 26-13 (동문리),041-674-1004
경상북도,고령군,대구남덕교회부활동산,경상북도 고령군 성산면 사부리 산131,054-950-6213
경기도,김포시,김포시추모공원(자연장지),경기도 김포시 통진읍 애기봉로571번길 165 (귀전리),031-983-3960
