소재지,장례식장 이름,주소,전화번호
서울,서울적십자병원장례식장,"서울특별시 종로구 새문안로 9 (평동, 적십자병원)",02-2002-8444
서울,서울대학교병원장례식장,"서울특별시 종로구 대학로 101, 서울대학교병원 (연건동)",02-2072-2020
서울,국립중앙의료원 장례식장,"서울특별시 중구 을지로 245 (을지로6가, 국립중앙의료원)",02-2262-4800
서울,순천향서울장례식장,"서울특별시 용산구 대사관로 59 (한남동, 순천향대학교병원)",02-797-4444
서울,한양대학병원장례식장,"서울특별시 성동구 왕십리로 222-1 (사근동, 한양대학부속병원)",02-2290-9442
서울,건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),02-2030-7900
서울,혜민병원장례식장,서울특별시 광진구 자양로 85 (자양동),02-444-1552
서울,경희의료원장례식장,"서울특별시 동대문구 경희대로 23, 경희의료원장례식장 (회기동, 경희의료원)",02-958-9721
서울,삼육서울병원 추모관,서울특별시 동대문구 망우로 82 (휘경동),02-2215-4444
서울,서울특별시 동부병원 장례식장,"서울특별시 동대문구 무학로 124 (용두동, 시립동부병원)",02-920-9445
서울,코리아병원장례식장,서울특별시 동대문구 장한로 143 (장안동),02-2244-0330
서울,서울특별시 서울의료원 장례식장,"서울특별시 중랑구 신내로 156 후문 (신내동, 서울의료원)",02-2276-7671
서울,면목녹색병원 장례식장,"서울특별시 중랑구 사가정로49길 53 (면목동, 녹색병원)",02-493-4444
서울,고려대학교안암병원 장례식장,서울특별시 성북구 안암동5가 126-1 고대안암병원장례식장,02-923-4442
서울,뉴타운장례식장,서울특별시 성북구 종암로 199 (하월곡동),02-909-4444
서울,서울좋은병원장례식장,서울특별시 강북구 도봉로 114 (미아동),02-984-5000
서울,대한병원장례식장,서울특별시 강북구 도봉로 301 (수유동),02-992-4444
서울,한일병원장례식장,서울특별시 도봉구 우이천로 308 한일병원장례식장 (쌍문동),02-901-3440
서울,원자력병원장례식장,"서울특별시 노원구 노원로 75 (공릉동, 한국원자력의학원)",02-970-1288
서울,인제대학교상계백병원 장례식장,"서울특별시 노원구 동일로 1342 (상계동, 상계백병원)",02-938-5320
서울,더조은장례식장,"서울특별시 노원구 화랑로 323 지하1층, 지하3층 (월계동)",02-941-4444
서울,노원을지대학교병원장례 식장,"서울특별시 노원구 한글비석로 68 (하계동, 을지병원)",02-970-8444
서울,태릉성심장례식장,서울특별시 노원구 화랑로 425-8 (공릉동),02-976-8811
서울,은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",02-2030-4444
서울,은평요양병원장례식장,"서울특별시 은평구 통일로 935,은평요양병원장례식장 (갈현동)",02-3216-4444
서울,청구성심병원장례식장,"서울특별시 은평구 통일로 873 (갈현동, 청구성심병원)",02-357-4445
