지역,소재지,시설명,주소,연락처
경상남도,김해시,대법륜사 극락전,경상남도 김해시 금관대로 1088-28 (흥동),055-322-5457
전라남도,보성군,봉갑사 납골묘,전라남도 보성군 문덕면 단양길 296-6 (봉갑리),061-853-9979
서울특별시,동작구,달마사봉안당,"서울특별시 동작구 서달로 50-26 (흑석동, 달마사)",02-822-8771
충청남도,금산군,만인산 만인사 봉안당,"충청남도 금산군 복수면 다복로 525-35 (용진리, 만인사)",041-751-3755
경상남도,창녕군,창녕군추모공원,경상남도 창녕군 창녕읍 탐하로 203 (술정리),055-533-2719
전라남도,함평군,상상추모공원,전라남도 함평군 함평읍 함장로 933-43 (수호리),061-322-6666
경상북도,안동시,안동하늘공원,"경상북도 안동시 임하면 고곡길 327 (고곡리, 안동하늘공원)",054-823-1090
대구광역시,동구,팔공산도림사추모공원,대구광역시 동구 인산로 264 (진인동),053-986-1001
울산광역시,울주군,대한불교조계종 천룡사납골당,울산광역시 울주군 웅촌면 웅촌로 720-5 (대복리),052-277-7062
경기도,가평군,설악그리쉼추모관,경기도 가평군 설악면 다락재로118번길 316 (회곡리),02-414-2311
인천광역시,부평구,인천가족공원 봉안담(회람형),"인천광역시 부평구 평온로 61 (부평동, 관리사무소및홍보관)",032-456-2320
경기도,광주시,(재)한남공원묘원(봉안),경기도 광주시 오포읍 매자리길 185-22(매산리),031-766-4278
경상북도,성주군,(재)우성공원 봉안묘·담,"경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)",054-933-4774
강원특별자치도,인제군,하늘내린 보금자리(가족12위),강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-460-2056
전북특별자치도,순창군,금화추모관,전라북도 순창군 순창읍 담순로 951-67 (백산리),063-652-6022
대구광역시,남구,불광사 추모관,대구광역시 남구 명덕로32길 40 (대명동),053-656-6766
경상북도,문경시,천주사 영탑공원,"경상북도 문경시 동로면 천주사길 108 (간송리, 천주사)",054-553-0336
전라남도,담양군,오룡군립묘원(봉안),전라남도 담양군 무정면 오룡리 산29,061-380-3384
경상남도,고성군,고성군장기공설묘지(봉안묘),경상남도 고성군 동해면 동해로 1236 (장기리),055-670-2923
충청남도,예산군,예산군추모의집 제2관,"충청남도 예산군 응봉면 예당로 1345-12 (평촌리, 예산군추모공원)",041-339-8252
제주특별자치도,서귀포시,서귀포추모공원,"제주특별자치도 서귀포시 돈내코로 295-28 (상효동, 공설봉안당)",064-732-1893
경기도,가평군,청량교회 청량동산,경기도 가평군 청평면 양진길 104 (고성리),02-968-1162
경상남도,거제시,삼우추모공원,경상남도 거제시 장목면 거제북로 919 (장목리),055-730-9678
충청북도,충주시,죽림정사 봉안당,충청북도 충주시 중앙탑면 탄금대로 851 (탑평리),043-851-4404
경상남도,창원시성산구,창원시립상복공원 제1봉안당,"경상남도 창원시 성산구 공단로474번길 160 (상복동, 창원시립상복공원)",055-712-0925
충청북도,진천군,성림사 연화납골당(봉안당),"충청북도 진천군 덕산면 인화길 83 (산수리, 성림사)",043-536-4617
전북특별자치도,김제시,성모암영락원,전라북도 김제시 만경읍 화포3길 54-9 (화포리),063-544-0869
경기도,양주시,재단법인조안공원양주지사,경기도 양주시 평화로1261번길 372-146 (산북동),031-856-3111
제주특별자치도,제주시,한경면 공설봉안묘(만장),제주특별자치도 제주시 한경면 저지리 산52,064-728-7924
전북특별자치도,남원시,태고종관음사 봉안당,"전라북도 남원시 보절면 관음사길 82 (서치리, 관음사)",063-634-4705
광주광역시,동구,해원정사,광주광역시 동구 분산길 100 (내남동),062-234-4576
경기도,화성시,(재)효원가족공원,경기도 화성시 향남읍 서봉로755번길 17-15 (동오리),031-354-2325
강원특별자치도,강릉시,강릉공원묘원(봉안),강원특별자치도 강릉시 사천면 청솔공원길 400 (석교리),033-644-0533
전라남도,나주시,대덕사 봉안당,전라남도 나주시 율정길 121 (대호동),062-361-9191
경상북도,울진군,울진군립추모원(봉안시설),경상북도 울진군 울진읍 대흥신림로 1046-261 (신림리),054-789-6109
경기도,화성시,대승불교조계종 구룡사,경기도 화성시 향남읍 범허리길 107-34 (상신리),
경상북도,예천군,천주교안동교구 봉안경당,"경상북도 예천군 지보면 지풍로 983-41 (암천리, 농은수련관)",054-655-1781
경기도,이천시,월봉사연화원,경기도 이천시 호법면 덕평로497번길 260 (매곡리),031-638-6796
전북특별자치도,무주군,(재)하늘공원 봉안당,전라북도 무주군 적상면 방이리 산158-1,063-320-4000
강원특별자치도,화천군,화천공원묘원 봉안묘,"강원특별자치도 화천군 하남면 영서로 5697-69 (원천리, 화천공원묘원)",033-440-2316
경상북도,성주군,삼광사추모공원 봉안탑,"경상북도 성주군 월항면 지산로 208 (지방리, 삼광사)",054-971-5669
충청남도,논산시,논산시양지추모원,충청남도 논산시 양촌면 중산길 165-11 (중산리),041-746-5338
서울특별시,서초구,정각사 봉안당,"서울특별시 서초구 과천대로 786 (방배동, 정각사)",02-584-1983
경기도,김포시,김포연화산추모공원,경기도 김포시 하성면 연화봉로 81-78 (마조리),031-981-1009
전북특별자치도,익산시,익산영생원(만장),"전라북도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)",063-859-3840
전라남도,해남군,남도광역추모공원(봉안당),전라남도 해남군 황산면 호교길 241-250 (일신리),061-530-5141
경기도,파주시,재단법인 통일로추모공원,"경기도 파주시 조리읍 명봉산로114번길 84 (장곡리, 통일로추모공원)",031-943-3501
경상남도,의령군,정통불교조계종 총본산 세원사,경상남도 의령군 칠곡면 칠곡로1길 56세원사 (도산리),070-8816-1002
