지역,소재지,시설명,주소,연락처
경상남도,고성군,고성군공설화장장,경남 고성군 상리면 자은리 산85-1,055-670-2923
경상남도,사천시,사천시 누리원(화장시설),경상남도 사천시 해안관광로 208-66 (송포동),055-831-4590
강원특별자치도,춘천시,춘천안식원,강원도 춘천시 동산면 종자리로 331-21 (군자리),033-261-7314
강원특별자치도,원주시,원주추모공원 화장장,강원도 원주시 흥업면 복술길 33 (사제리),033-749-4870
전북특별자치도,정읍시,서남권추모공원,전라북도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6726
전라남도,여수시,승화원(화장장),전라남도 여수시 소라면 의곡길 494,061-659-1795
경상북도,포항시,포항시립구룡포화장장,"경상북도 포항시 남구 구룡포읍 구룡포길39번길 64 (구룡포리, 구룡포화장장)",054-270-5960
충청북도,제천시,제천시영원한쉼터,충청북도 제천시 송학면 송학주천로9길 122 (포전리),043-644-6613
경상북도,영주시,영주시화장장,"경상북도 영주시 조와로 48-186 (고현동, 영주시립화장장)",054-639-4878
충청북도,충주시,충주시시설관리공단,충청북도 충주시 목벌길 256 (목벌동),043-830-9444
부산광역시,금정구,부산영락공원,"부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)",051-790-5000
제주특별자치도,제주시,양지공원,제주특별자치도 제주시 516로 2810-31 (영평동),064-702-4065
경상북도,문경시,문경예송원,경상북도 문경시 유곡불정로 239-39 (불정동),054-550-6507
경상남도,김해시,김해추모의공원,경상남도 김해시 주촌면 서부로1637번길 574 (덕암리),055-337-3946
경상남도,진주시,진주시안락공원,"경상남도 진주시 진산로 141-42 (장재동, 진주시안락공원)",055-759-3672
경상북도,울진군,울진군립추모원,경상북도 울진군 울진읍 대흥신림로 1046-280 (신림리),054-789-6109
서울특별시,서울특별시,서울시립승화원,경기도 고양시 덕양구 통일로 504 서울시립승화원 (대자동 178-1),031-960-0236
광주광역시,광주광역시,광주영락공원,광주광역시 북구 영락공원로 170 (효령동),062-572-4384
전북특별자치도,전주시완산구,전주시승화원,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-138(효자동3가, 전주승화원)",063-239-2690
강원특별자치도,태백시,태백시화장장,강원 태백시 백두대간로 844 (창죽동 26-5),033-550-2844
경상북도,김천시,김천시립추모공원,경상북도 김천시 봉산면 영남대로 431 (신암리),054-421-1616
경상남도,통영시,통영시추모공원,경상남도 통영시 장대길 115 (정량동),055-650-4883
대전광역시,대전광역시,대전시정수원,대전광역시 서구 계백로1249번길 174-82 (정림동),042-610-2300
경기도,화성시,화성함백산추모공원(화장),"경기도 화성시 매송면 서해로 2448-32, 화성 함백산추모공원",031-240-9200
경상북도,경주시,경주하늘마루,경상북도 경주시 서면 하늘마루길 330 (도리),054-779-8547
전라남도,목포시,목포추모공원,전라남도 목포시 고하대로 1140-41 (대양동),061-272-0095
경상남도,창원시,창원시립상복공원,경상남도 창원시 성산구 공단로474번길 160,055-712-0920
전북특별자치도,군산시,군산시승화원,"전라북도 군산시 임피면 서원석곡로 436-34 (보석리, 승화원)",063-454-7950
전북특별자치도,남원시,남원시승화원,전북 남원시 광치동 690-1,063-632-5874
울산광역시,울산광역시,울산하늘공원,울산 울주군 삼동면 보삼길 550,052-255-3800
경상북도,울릉군,울릉하늘섬공원,경북 울릉군 서면 남서리 303,054-791-1888
경상남도,함안군,함안하늘공원(화장시설),경상남도 함안군 가야읍 함마대로 1145  함안하늘공원,055-585-7182
경기도,성남시,성남시장례문화사업소,경기 성남시 중원구 순암로 787 (갈현동112),031-754-2268
강원특별자치도,동해시,동해삼척 공동화장장(승화원),강원도 동해시 강원남부로 4589 (단봉동),033-522-1451
경상남도,남해군,남해추모누리 영화원,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681
전라남도,해남군,남도광역추모공원,전라남도 해남군 황산면 호교길 241-250(원호리),061-530-5141
서울특별시,서울특별시,서울추모공원,서울특별시 서초구 양재대로12길 74 (원지동),02-3498-2581
경상북도,의성군,의성군공설화장장,경상북도 의성군 의성읍 의성길안로 287-29 (중리리),054-833-1103
강원특별자치도,강릉시,솔향하늘길,강원도 강릉시 사천면 청솔공원길 292-55 (석교리),033-660-3857
경상남도,창원시,창원시립마산화장장,경남 창원시 마산합포구 진동면  공원묘원로 232 마산화장장,055-712-0224
충청남도,홍성군,홍성추모공원,"충청남도 홍성군 금마면 금마로516번길 85 (봉서리, 화장장)",041-633-7780
강원특별자치도,속초시,속초시승화원,강원도 속초시 이목로 194 (노학동),033-635-7023
세종특별자치시,세종특별자치시,은하수공원 해님의집(화장장),"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1330
대구광역시,대구광역시,대구명복공원,대구광역시 수성구 달구벌대로541길 47 (고모동),053-743-3880
충청남도,공주시,공주나래원,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980
전라남도,순천시,순천시립추모공원,"전라남도 순천시 양율길 132 (야흥동, 유택동산,화장장,봉안당)",061-749-6168
경상북도,포항시,포항시우현화장장,포항시 북구 소티재로 69-12(우현동),054-270-5815
경상남도,밀양시,밀양시공설화장시설,경상남도 밀양시 북성로7길 59 (교동 476-1번지),055-359-4634
강원특별자치도,정선군,정선하늘터,강원도 정선군 사북읍 소금강로 3500-34 (사북리),033-560-3460
경상북도,안동시,안동장사문화공원,경상북도 안동시 풍천면 운골길 205 (도양리),054-850-4780
충청남도,천안시,천안추모공원,"충청남도 천안시 동남구 광덕면 밤나무골길 38 (원덕리, 천안추모공원)",041-529-5141
전북특별자치도,익산시,익산하늘공원정수원,전북 익산시 석왕동 235-13,063-859-3840
경상북도,구미시,구미시추모공원,경상북도 구미시 옥성면 추모공원로 81 (농소리),054-480-2320
경기도,용인시,용인 평온의 숲(나래원),"경기도 용인시 처인구 이동읍 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900
강원특별자치도,인제군,인제 하늘내린도리안,"강원도 인제군 남면 자작나무숲길 444-62 (남전리, 하늘내린도리안공원)",033-462-6989
경기도,수원시영통구,수원시연화장 승화원,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6500
인천광역시,인천광역시,인천가족공원 화장시설,인천광역시 부평구 평온로 61 (부평동),032-456-2320
전라남도,곡성군,재단법인 아름다운청계공원,전라남도 곡성군 곡성읍 청계동로 457 (신기리),070-8677-2232
경상북도,상주시,상주시승천원,경상북도 상주시 병성천2길 560 (병성동),054-537-7926
전라남도,고흥군,국립소록도병원화장장,전남 고흥군 도양읍 소록리 1번지,061-840-0586
충청북도,청주시,청주시목련공원,"충청북도 청주시 상당구 목련로 731 (월오동,목련공원)",043-270-8578
전라남도,광양시,광양시화장장,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449
